ITEM;PARTIDA
PINTADO DE AMBIENTES DE CASA DE LA LIBERTAD;24110
MANTENIMIENTO DE AIRE ACONDICIONADO;24120
MANTENIMIENTO DE ASCENSOR;24120
MANTENIMIENTO DE SISTEMA DE SEGURIDAD Y VIGILANCIA DE CASA DE LA LIBERTAD;24120
PASAJES AEREOS SUCRE-COCHABAMBA-SUCRE PARA  INVESTIGADOR Y EQUIPO DE APOYO PARA REGISTRO AUDIOVISUAL;22110
PASAJES TERRESTRES COCHABAMBA-CHIMORE--LA MISIÓN-CHIMORE- COCHABAMA PARA PARA  INVESTIGADOR Y EQUIPO DE APOYO PARA REGISTRO AUDIOVISUAL;22110
PASAJES FLUVIALES: LA MISIÓN-RIO CHAPARE-RIO ICHILO-LA MISION PARA  INVESTIGADOR Y EQUIPO DE APOYO PARA REGISTRO AUDIOVISUAL;22110
PASAJES AEREOS SUCRE-LA PAZ-SUCRE PARA PARA  INVESTIGADOR Y EQUIPO DE APOYO PARA REGISTRO AUDIOVISUAL;22110
PASAJES TERRESTRES LA PAZ-GUANAY-APOLO-LA PAZ  PARA PARA  INVESTIGADOR Y EQUIPO DE APOYO PARA REGISTRO AUDIOVISUAL;22110
PASAJES TERRESTRES SUCRE-MIZQUE-RAQHAYPAMPA-SUCRE  PARA  INVESTIGADOR Y EQUIPO DE APOYO PARA REGISTRO AUDIOVISUAL;22110
VIATICOS COCHABAMBA  (NACIÓN YURACARE) PARA  INVESTIGADOR Y EQUIPO DE APOYO PARA REGISTRO AUDIOVISUAL;22210
VIATICOS LA PAZ (NACIÓN LECO)  PARAPARA  INVESTIGADOR Y EQUIPO DE APOYO PARA REGISTRO AUDIOVISUAL;22210
VIATICOS COCHABAMBA (NACIÓN CHUY)  PARA EL PARA  INVESTIGADOR Y EQUIPO DE APOYO PARA REGISTRO AUDIOVISUAL;22210
IMPRESIÓN DE LIBRO-CATALOGO EXPOSICIÓN: GUARASUGWE;25600
IMPRESIÓN DE LIBRO-CATALOGO EXPOSICIÓN: WEENHAYEK. GENTE DIFERENTE;25600
IMPRESIÓN DE REVISTA PARA NIÑOS: JUANA AZURDUY. HEROÍNA DE AMERICA;25600
IMPRESIÓN DE REVISTA PARA NIÑOS: DESCUBRIENDO MI BOLIVIA;25600
ELABORACION DE LAMINAS PARA REVISTA DE NIÑOS JUANA AZURDUY, HEROÍNA DE AMERICA;26990
TRANSPORTE DE PERSONAL (GUÍAS DE MUSEO), EQUIPOS Y MATERIALES A DIFERENTES UNIDADES EDUCATIVAS DE LA CIUDAD DE SUCRE;22600
TRANSPORTE DE PERSONAL (GUÍAS DE MUSEO) A BARRIOS EN COORDINACIÓN CON EL MUNICIPIO;22600
CONTRATACION DE PASANTIAS PARA APOYO EN MUSEO;26930
CONTRATACIÓN DE SERVICIO ARTISTICO QUE AMENICE LA ACTIVIDAD CULTURAL CON LOS PUEBLOS INDIGENAS DE CHUQUISACA  CON MIRAS A  LA CELEBRACIÓN DEL BICENTENARIO;26990
IMPRESIÓN Y CORTE DE LETRA CALADA;25600
MADEJAS DE LANA;33100
MADEJAS DE HILO;33100
CARRETAS DE HILO CON BORLAS;33100
OVILLO DE YUTE;33100
CINTAS DE COLORES;33100
MATERIALES DE APOYO EDUCATIVO  - OBJETOS UTILITARIOS DE PUEBLOS INDIGENAS (UTENSILIOS Y OTROS);39600
MATERIALES DE APOYO EDUCATIVO - ARTESANIAS DE PUEBLOS INDIGENAS (TALLADOS, GRABADOS, TEXTILES, ETC);39600
MATERIALES DE APOYO EDUCATIVO - OBJETOS DE USO COTIDIANO DE PUEBLOS INDIGENAS (SEMILLAS, FRUTOS, ALIMENTOS Y OTROS);39600
PASAJES AEREOS SUCRE-SANTA CRUZ-SUCRE PARA EL JUM Y PERSONAL DE APOYO DE MUSEO DE CDL;22110
PASAJES TERRESTRES SUCRE-POTOSI-SUCRE PARA EL JUM Y PERSONAL DE APOYO DE MUSEO DE CDL;22110
VIATICOS SANTA CRUZ  PARA EL JUM Y PERSONAL DE APOYO DE MUSEO DE CDL;22210
VIATICOS POTOSI  PARA EL JUM Y PERSONAL DE APOYO DE MUSEO DE CDL;22210
 FLETE PARA ENVÍO DE MATERIAL DE EXPOSICIÓN A LA CIUDAD DE SANTA CRUZ;22300
SERVICIO DE FLETE PARA ENVÍO DE MATERIAL DE EXPOSICIÓN A LA CIUDAD DE POTOSI;22300
PASAJES AEREOS SUCRE-COCHABAMBA-SUCRE PARA EL JUM Y PERSONAL DE APOYO DE MUSEO DE CDL;22110
VIATICOS MIZQUE  PARA EL JUM Y PERSONAL DE APOYO DE MUSEO DE CDL;22210
VIATICOS PUERTO VILLARROEL  PARA EL JUM Y PERSONAL DE APOYO DE MUSEO DE CDL;22210
SERVICIO DE FLETE PARA ENVÍO DE MATERIAL DE EXPOSICIÓN A LA LOCALIDAD DE MIZQUE;22300
SERVICIO DE FLETE PARA ENVÍO DE MATERIAL DE EXPOSICIÓN A LA LOCALIDAD DE PUERTO VILLARROEL;22300
PASAJES AEREOS SUCRE-COCHABAMBA-SUCRE PARA EL JUM Y PERSONAL DE APOYO DE MUSEO DE CDL;22110
VIATICOS COCHABAMBA  PARA EL JUM Y PERSONAL DE APOYO DE MUSEO DE CDL;22210
SERVICIO DE FLETE PARA ENVÍO DE MATERIAL DE EXPOSICIÓN A LA CIUDAD DE COCHABAMBA;22300
SERVICIO DE AFINADO DE PIANO PARA LA REALIZACIÓN DE CONCIERTOS;25900
PASAJES AL INTERIOR DEL PAIS A CONVOCATORIA DE LA FC BCB PARA DIRECTOR DE CDL;22110
VIATICOS PARA EL DIRECTOR DE CDL POR CONCEPTO DE VIAJES AL INTERIOR DEL PAÍS;22210
DOCUMENTALES SOBRE LAS GUERRILLAS DE ÑANCAGUAZU Y TEOPONTE;26990
CORTINAS;33200
DRYWALL;34500
RIELES Y ESTRUCTURA;34600
SOPORTE DE PARED;34600
LUMINARIAS RGB;39700
SPOT LED PARA RIEL NANO BLANCO, MAS CABLES;39700
VITRINA;43110
"TELEVISOR SMART DE 55""";43500
VIATICOS PARA TALLER DE CAPACITACION MOWLAC;22110
PASAJES PARA TALLER DE CAPACITACION MOWLAC;22210
COMUNICACIONES. (PAGO DEL SERVICIO DE COURIER);21100
ENERGÍA ELECTRICA. (PAGO DEL SERVICIO DE ENERGÍA ELECTRICA DEL MEDIDOR N° 54643711);21200
AGUA. (PAGO DEL SERVICIO AGUA POTABLE Y ALCANTARILLADO DE LOS CODIGOS DE USUARIO N° 100220650, N° 100220700 y N° 100220750);21300
TELEFONÍA. (PAGO DEL SERVICIO DE TELEFONIA MÓVIL Y DE LARGA DISTANCIA DE LAS LÍNEAS 64-52690 y 64-52199) (PAGO DEL SERVICIO DE TELEFONIA FIJA DE LAS LINEAS 6439414, 6452199, 6452690 y 6454200);21400
PAGO POR EL SERVICIO DE HOSTING DE PÁGINA WEB DE CASA DE LA LIBERTAD.;21600
PAGO POR RENOVACIÓN DEL DOMINIO DE DIRECCIÓN WEB WWW.CASADELALIBERTAD.ORG.BO;21600
PAGO POR EL SERVICIO DE CONEXIÓN A INTERNET A TRAVÉS DE FIBRA OPTICA, 2 PLANES DE 10Mbps Y 30 Mbps RESPECTIVAMENTE;21600
PASAJES AL INTERIOR DEL PAÍS PARA  JUM Y JUAF DE CDL;22110
VIATICOS PARA EL JUM Y JUAF POR CONCEPTO DE VIAJES AL INTERIOR DEL PAÍS-REUNIONES DE SEGUIMIENTO TRIMESTRAL POA - PTTO 2024;22210
FLETES Y ALMACENAMIENTO (TRASLADO DE MATERIALES ENCOMIENDAS GRANDES Y CARGUÍOS);22300
TRANSPORTE DE PERSONAL;22600
ALQUILER DE CASILLA POSTAL;23400
ACTUALIZACIÓN DE SOFTWARE (ANTIVIRUS);24300
PERSONAL DE APOYO PARA EL AREA DE MUSEO;25220
COMISIONES BANCARIAS;25300
SERVICIO DE LIMPIEZA INTEGRAL DE LOS TRES INMUEBLES DE CASA DE LA LIBERTAD;25400
EMPASTADO DE DOCUMENTACIÓN DE CASA DE LA LIBERTAD.;25600
IMPRESIÓN DE TIKET PARA VISITAS GRATUITAS Y EXPOSICIONES TEMPORALES;25600
SERVICIO DE JARDINERÍA PARA PLANTAS ORNAMENTALES DE CASA DE LA LIBERTAD;25900
SERVICIOS MANUALES VARIOS PARA MANTENIMIENTO DE LA INFRAESTRUCTURA DE CDL;25900
SERVICIOS JUDICIALES;26200
SERVICIOS PÚBLICOS (GUARDIAS DE SEGURIDAD);26610
CONTRATACION DE PASANTES PARA APOYO ADMINISTRATIVO;26930
REFRIGERIOS PARA EL PERSONAL DE PLANTA DE CDL (SERVICIO DE TE);31110
PAPEL BOND ECOLÓGICO, TAMAÑO CARTA, GRAMAJE: 75GR./ 80GR.;32100
PAPEL BOND BLANCO TAMAÑO CARTA, GRAMAJE: 75GR.;32100
PAPEL BOND BLANCO TAMAÑO OFICIO, GRAMAJE: 75GR;32100
PAPEL BOND DE COLORES TAMAÑO OFICIO, GRAMAJE: 75GR. (PAQUETE UN COLOR)  ;32100
PAPEL BOND DE COLORES TAMAÑO CARTA, GRAMAJE: 75GR. (PAQUETE UN COLOR)   ;32100
ADQUISION CE ROLLOS DE PAPEL TERMICO;32200
PLIEGO DE PAPEL KRAFT ;32200
CUADERNO CON ESPIRAL/ANILLADO – TAMAÑO MEDIO OFICIO;32200
FOLDER AMARILLO OFICIO ;32200
CUADERNO EMPASTADO – TAMAÑO OFICIO;32200
CUADERNO EMPASTADO - TAMAÑO MEDIO OFICIO ;32200
ARCHIVADOR DE PALANCA PLASTIFICADO – LOMO ANCHO;32200
ARCHIVADOR DE PALANCA PLASTIFICADO – LOMO DELGADO;32200
BARBIJOS QUIRURGICOS DE 50 UNIDADES ;33300
GUANTES DE LATEX QUIRURGICOS ;33300
ADQUISICIÓN DE POLVO QUÍMICO Y NITRÓGENO SECO A LOS EXTINTORES DE CASA DE LA LIBERTAD;34200
PINTURA BLANCA LATEX DE 3,5 LITROS ;34200
RECUPLAST DE TECHO DE 1 LITRO;34200
CARPICOLA DE 200 ML.;34200
SILICONA TRANSPARENTE ;34500
CAÑERIA PVC DE 1/2;34500
CODOS PVC DE 1/2;34500
TEFLON DE 3/4;34500
FLOTADORES DE 1/2 P/TANQUE DE AGUA ;34500
FISHER N° 6;34500
FISHER N° 7;34500
FISHER N° 8;34500
FISHER N° 10;34500
CAJA DE LUZ 2 X 4;34500
CINTA AISLANTE ;34500
NIPLES PVC 1/2 ;34500
ANILLAS PVC 1/2;34500
TAPA PVC 1/2;34500
TAPA CABLE 15 X 10;34500
TAPA CABLE 20 X 10;34500
HILO PLASTICO 0,80 Y 0,90;34500
SIERRA BIMETÁLICA PARA SIERRA DE ARCO ;34600
BROCA DIAMANTADA P/CONCRETO 6.0 MM.;34600
BROCA DIAMANTADA P/CONCRETO 7.0 MM.;34600
BROCA DIAMANTADA P/CONCRETO 8.0 MM.;34600
BROCA DIAMANTADA P/CONCRETO 5.0 MM.;34600
JUEGO DE 19 PIEZAS DE BROCAS HSS;34600
"CLAVO PARA CONCRETO 1"".";34600
"CLAVO PARA CONCRETO 1 1/2"".";34600
"CLAVO PARA CONCRETO 2"".";34600
JUEGO DE 6 PIEZAS DE BROCAS PALETADAS DE MADERA ;34600
CERRADURA DE SOBREPONER ;34600
CERRADURA PARA MUEBLE DE MADERA  ;34600
ALAMBRE DE AMARRE NEGRO RECOCIDO;34600
PAÑO FRANELA NARANJA ;39100
SERVILLETAS DE PAPEL ;39100
PAPEL HIGIENICO DE DOBLE HOJA;39100
DETERGENTE LAVA VAJILLAS ;39100
TRAPO DE PISO ;39100
SANITIZADOR DE MANOS (GEL ANTIBACTERIAL) ;39100
JABÓN LIQUIDO DE MANOS ;39100
TABLERO PORTA DOCUMENTOS ;39500
PERFORADORA DE ESCRITORIO PEQUEÑA;39500
GRAPA 24/6 ;39500
MICROPUNTA DE 0.4 mm ;39500
MICRO PUNTA 0.4 mm (DIFERENTES COLORES);39500
ENGRAPADORA METÁLICA SEMI INDUSTRIAL;39500
CAJA DE MARCADORES ;39500
MARCADOR DE AGUA PARA PIZARRA BLANCA;39500
BOTE DE TINTA PARA SELLOS PIE DE FIRMA – COLOR AZUL ;39500
BOTE DE TINTA PARA SELLOS PIE DE FIRMA – COLOR NEGRO;39500
CINTA SCOTCH TRANSPARENTE;39500
RESALTADOR;39500
HOJAS DE REPUESTO PARA CUTTER ;39500
REGLA DE PLÁSTICO  ;39500
PORTA CINTA SCOCH PARA ESCRITORIO ;39500
SEÑALIZADOR TIPO FLECHA ;39500
PEGAMENTO EN BARRA  ;39500
MARCADOR PERMANENTE DOBLE PUNTA (MEDIANO/EXTRA FINO) – COLOR NEGRO;39500
MARCADOR PERMANENTE DOBLE PUNTA (MEDIANO/EXTRA FINO) – COLOR ROJO;39500
MARCADOR PARA CD/DVD;39500
LAPIZ ROJO ;39500
LAPIZ BICOLOR AZUL/ROJO ;39500
CAJA DE LAPICES DE COLOR DE 12 UNIDADES;39500
CUTTER METÁLICO;39500
SACA GRAPAS ;39500
CORRECTOR EN CINTA;39500
CLIPS 33 MM. METÁLICO;39500
CLIPS 50 MM. METÁLICO;39500
CLIPS 78 MM. METÁLICO;39500
CINTA DE EMBALAJE TRANSPARENTE ;39500
BOLÍGRAFO RETRÁCTIL – COLOR ROJO;39500
BOLÍGRAFO RETRÁCTIL - COLOR NEGRO;39500
BOLÍGRAFO RETRÁCTIL - COLOR AZUL;39500
CARTUCHOS DE TÓNER ORIGINAL HP CE505A (05A) /NEGRO ;39500
CARTUCHO DE TÓNER ORIGINAL HP CF410A /NEGRO;39500
CARTUCHO DE TÓNER ORIGINAL HP CF411A/CYAN ;39500
CARTUCHO DE TÓNER ORIGINAL HP CF412A/YELLOW;39500
CARTUCHO DE TÓNER ORIGINAL HP CF413A/MAGENTA ;39500
CARTUCHOS DE TÓNER ORIGINAL SHARP MX-237NT/NEGRO ;39500
BOTE DE TINTA ORIGINAL BROTHER BT-D60BK DE 108. ML./BLACK;39500
BOTE DE TINTA ORIGINAL BROTHER BT-5001M DE 48.8 ML./MAGENTA;39500
BOTE DE TINTA ORIGINAL BROTHER BT-5001Y DE 48.8 ML./YELLOW;39500
BOTE DE TINTA ORIGINAL BROTHER BT-5001C DE 48.8 ML./CYAN;39500
CARTUCHO DE TÓNER ORIGINAL HP CE410A (305A) /BLACK;39500
CARTUCHO DE TÓNER ORIGINAL HP CE411A (305A) /CYAN;39500
CARTUCHO DE TÓNER ORIGINAL HP CE412A (305A) /YELLOW;39500
CARTUCHO DE TÓNER ORIGINAL HP CE413A (305A) /MAGENTA;39500
CARTUCHO DE TÓNER ORIGINAL CANON GPR - 54/NEGRO ;39500
CARTUCHO DE TINTA ORIGINAL PARA PLOTTER HP P2V62A DE 130 ML./CYAN ;39500
CARTUCHO DE TINTA ORIGINAL PARA PLOTTER HP P2V63A DE 130 ML./MAGENTA ;39500
CARTUCHO DE TINTA ORIGINAL PARA PLOTTER HP P2V64A DE 130 ML./YELLOW  ;39500
CARTUCHO DE TINTA ORIGINAL PARA PLOTTER HP P2V65A DE 130 ML./NEGRO MATE  ;39500
CARTUCHO DE TINTA ORIGINAL PARA PLOTTER HP P2V66A DE 130 ML./GRIS   ;39500
CARTUCHO DE TINTA ORIGINAL PARA PLOTTER HP P2V67A DE 130 ML./NEGRO FOTOGRÁFICO    ;39500
CARTUCHO DE TÓNER ORIGINAL HP Q2612A (12A) /NEGRO;39500
CARTUCHO DE TÓNER ORIGINAL HP Q5949A (49A) /NEGRO;39500
BOTE DE TINTA ORIGINAL EPSON T673620 DE 70ML./MAGENTA CLARO;39500
BOTE DE TINTA ORIGINAL EPSON T673520 DE 70 ML./CYAN CLARO;39500
BOTE DE TINTA ORIGINAL EPSON T673420 DE 70 ML./YELLOW;39500
BOTE DE TINTA ORIGINAL EPSON T673320 DE 70 ML./MAGENTA;39500
BOTE DE TINTA ORIGINAL EPSON T673220 DE 70 ML./CYAN;39500
BOTE DE TINTA ORIGINAL EPSON T673120 DE 70 ML./BLACK;39500
FOCO LED CALIDO E-14 DE 5 WATTS ;39700
ENCHUFE CLAVIJA 20 AMP.;39700
FOCO NORMAL DE 100 WATTS  ;39700
FOCO NORMAL DE 200 WATTS  ;39700
FOCO LED DICROICO LUZ CALIDA DE 5 W;39700
INTERRUPTOR CONMUTADOR PARA EMPOTRAR;39700
PILA CHICA AAA;39700
PILA CHICA AA;39700
SOQUET DE PORDELANA ;39700
TOMA CORRIENTE DOBLE CON POLO A TIERRA ;39700
TERMICO MONOFASICO DE 16-20A;39700
TOMA CORRIENTE DE 4 TOMAS ;39700
FOCO LED DE 13 WATTS FSL;39700
REFLECTOR LED DE 50 W LUZ SEMI CALIDA ;39700
REFLECTOR LED DE 30 W LUZ SEMI CALIDA ;39700
PANEL DE 18 WATTS CIRCULAR EMPOTRADO ;39700
PANEL DE 6 WATTS DE SOBRE PONER ;39700
PANEL LED 60 X 60 CUADRADO DE EMPOTRAR 40 WATTS ;39700
PANEL LED DE SOBRE PONER CIRCULAR 24 WATTS ;39700
CORTA PICO CON FILTRO CONTRA INTERFERENCIAS DE 6 TOMAS ;39700
CABLE ALAMBRE AISLADO N° 12 (100 METROS);39700
CABLE ALAMBRE AISLADO N° 14 (100 METROS);39700
INTERRUPTOR TRIPLE ;39700
FOCO LED DE 6 WATTS PARA EMPOTRAR CUADRADO ;39700
ENCHUFE SIMPLE P/PISO ;39700
SOQUET CON ENCHUFE ;39700
CABEZAL PARA IMPRESORA TIPO PLOTTER HP MODELO T1700;39800
MEMORIAS FLASH DE 16 GIGAS;39800
SWITCH KVM DE 2 PUERTOS;39800
MICROFONO INSTRUMENTAL;39800
PEDESTALES DE MICROFONO;39800
MICROFONO CORBATERO;39800
TASAS (ASEO URBANO Y ALUMBRADO PUBLICO);85100
ENVIO DE PLANILLAS AL MINISTERIO DE TRABAJO;85900
PAGO DE SUELDOS DEL PERSONAL DE PLANTA DE CDL;66100
PAGO DE SERVICIO DE SEGURIDAD FÍSICA ESTATAL;66210
PAGO DE SERVICIO DE LIMPIEZA INTEGRAL;66210
PAGO DE RETENCIONES POR SERVICIO DE SEGURIDAD FÍSICA ESTATAL;66400
PAGO DE RETENCIONES POR SUELDOS DEL PERSONAL DE PLANTA DE CASA DE LA LIBERTAD;66400
BONO DE ANTIGÜEDAD;11220
AGUINALDOS;11400
ASIGNACIONES FAMILIARES;11600
SUELDOS;11700
RÉGIMEN C.P. (SEGURO SOCIAL DE SALUD- CAJA PETROLERA) (COD.418);13110
RÉGIMEN L.P. PENSIONES BÁSICAS;13120
APORTE PATRONAL SOLIDARIO;13131
APORTE PATRONAL PARA VIVIENDA;13200
SERVICIO ARTISTICO - ELABORACION DE OBRAS PICTORICAS DE RETRATOS DE PRESIDENTES PARA COMPLETAR COLECCIÓN DE PRESIDENTES;26990
PASANTIAS;26930
PASANTIAS;26930
RESMA DE CARTULINA ;32200
PLASTOFORMO DE 1/2 CM;34500
PLASTOFORMO DE 1 CM;34500
PLASTOFORMO DE 1 1/2 CM;34500
PINCELES Nº 20;39990
PINCELES Nº 16;39990
PINCELES Nº 14;39990
PINCELES RECARGABLES ;39990
BISTURÍ Nª 10;39400
BISTURÍ Nª 22;39400
ESPÁTULA ;39400
PETRI X 10 CM ;39400
VASO PRECIPITADO DE 50, 100.250,400,600 ML;39400
PINZA ANATÓMICA DE PUNTA FINA;39400
TIJERA RECTA P/TELA GRANDE;39400
BOLSAS ULTRA RESISTENTES ;34500
PLÁSTICO ADHERENTE;34500
ABSORBEDOR DE HUMEDAD ;39990
ATOMIZADOR;34500
PAPEL JAPONÉS ;32200
CARPICOLA PH NEUTRO GAYLORD;39990
MANTENIMIENTO DE CUBIERTAS Y CANALETAS DE CASA DE LA LIBERTAD;24110
RESTAURACION DE PIEZAS DE MADERA DE LA INFRAESTRUCTURA DE CDL;24110
MANTENIMIENTO DEL SISTEMA SANITARIO;24110
MANTENIMIENTO DE PAREDES DE CASA DE LA LIBERTAD;24110
MANTENIMIENTO DE PUERTAS DE VIDRIO;24110
MANTENIMIENTO DE ASCENSOR;24120
MANTENIMIENTO DE PISO DE AZOTEA EN 2° NIVEL DE CASA WAKA;24110
INSTALACION DE REDES ELECTRICAS INTERNAS DE CASA PATRIMONIAL;24300
PASAJES AEREOS SUCRE-LA PAZ. TRINIDAD-SUCRE  (JUAN PEDRO DEBRECZENI);22110
PASAJES AEREOS SUCRE-LA PAZ. TRINIDAD-SUCRE  (GUSTAVO CHOQUE);22110
"
PASAJE TERRESTRE LA PAZ-GUANAY-CARANAVI-ALTO BENI-YUCUMO-SAN BORJA-SAN IGNACIO-TRINIDAD ( JUAN PEDRO DEBRECZENI)";22110
"
PASAJE TERRESTRE LA PAZ-GUANAY-CARANAVI-ALTO BENI-YUCUMO-SAN BORJA-SAN IGNACIO-TRINIDAD (GUSTAVO CHOQUE)";22110
PASAJES AEREOS SUCRE-COBIJA-SUCRE (JUAN PEDRO DEBRECZENI);22110
"
PASAJES AEREOS SUCRE-COBIJA-SUCRE (GUSTAVO CHOQUE)";22110
PASAJES TERRESTRES COBIJA-MUDKEN-TIERRA TERESA -BOLPEBRA-SAN MIGUEL DE MACHINERI-PORVENIR-COBIJA (JUAN PEDRO DEBRECZENI);22110
PASAJES TERRESTRES COBIJA-MUDKEN-TIERRA TERESA -BOLPEBRA-SAN MIGUEL DE MACHINERI-PORVENIR-COBIJA (GUSTAVO CHOQUE);22110
VIATICOS - JUAN PEDRO DEBRECZENI;22210
VIATICOS - GUSTAVO CHOQUE;22210
VIATICOS - JUAN PEDRO DEBRECZENI;22210
VIATICOS - GUSTAVO CHOQUE;22210
CONSULTORIA INDIVIDUAL POR PRODUCTO PARA ELABORACION DE LA INVESTIGACION SOBRE EL ROL DE LA MUJER BOLIVIANA EN LOS PROCESOS HISTORICOS;25210
"SERVICIO DE IMPRESIÓN DE LIBRO ""ROL DE LA MUJER BOLIVIANA EN LOS PROCESOS HISTORICO SOCIALES DE BOLIVIA""";25600
"SERVICIO DE IMPRESIÓN DEL LIBRO ""EL DIARIO: CONDOR DE BOLIVIA""";25600
SERVICIO DE IMPRESIÓN DE LIBRO-CATALOGO EXPOSICIÓN: TACANA;25600
SERVICIO DE IMPRESIÓN DE LIBRO-CATALOGO EXPOSICIÓN: JALQ´A;25600
SERVICIO DE IMPRESIÓN DE LIBRO-CATALOGO EXPOSICIÓN: GUERRA DE LA INDEPENDENCIA Y SUS PROTAGONISTAS ANONIMOS;25600
ISBN;26990
CONSULTORIA INDIVIDUAL POR PRODUCTO PARA ELABORACION DE LA INVESTIGACION PARA LA PUBLICACION  DE UN EJEMPLAR DE LA COLECCIÓN DE LA BIBLIOTECA BIOGRAFICA DEL BICENTENARIO;25210
SERVICIO DE IMPRESIÓN DE LIBRO DE LA BIBLIOTECA BIOGRÁFICA DEL BICENTENARIO;25600
ISBN;26990
SERVICIO DE IMPRESIÓN DE LIBRO MEMORIAS DEL BICENTENARIO;25600
ISBN;26990
SERVICIO DE IMPRESIÓN DEL CUENTO INFANTIL SOBRE HISTORIA DE BOLIVIA;25600
ISBN;26990
SERVICIO ARTÍSTICO – PRESENTACIÓN DE GRUPO MUSICAL PARA EL ENCUENTRO DE LA NACION TACANA.;26990
SERVICIO ARTÍSTICO – PRESENTACIÓN DE GRUPO MUSICAL PARA EL ENCUENTRO DE LA NACION TACANA.;26990
TRANSPORTE DE PERSONAL;22600
TRANSPORTE DE PERSONAL;22600
SERVICIO DE ELABORACION DE VIDEO AUDIOVISUAL ANIMADO PARA NIÑOS DE JUANA AZURDUY DE PADILLA ;26990
PASANTIAS;26930
SERVICIO DE CONSULTORÍA INDIVIDUAL DE LÍNEA PERSONAL DE APOYO EN GUIAJE INCLUSIVO (LENGUAJE DE SEÑAS);25220
STIKER;25500
CARTILLAS;25500
"SERVICIO DE IMPRESIÓN DE FOTOGRAFÍAS EN GRAN FORNATO PARA CUADROS DE LA EXPOSICION ""LAS GUERRILLAS EN BOLIVIA. ÑANCAHUAZU Y TEOPONTE""";25600
PASAJES AEREOS SUCRE-LA PAZ.-SUCRE (Pedro Debreczeni);22110
PASAJES AEREOS SUCRE-LA PAZ.-SUCRE (Marilia Mita);22110
PASAJES AEREOS SUCRE-SANTA CRUZ.-SUCRE (Marilia Mita);22110
PASAJES AEREOS SUCRE-SANTA CRUZ.-SUCRE (Juan Pedro Debreczeni);22110
VIATICOS - JUAN PEDRO DEBRECZENI;22210
VIATICOS - MARILIA MITA;22210
MATERIAL PUBLICITARIO PARA VISITANTES A LA FERIAS INTERNACIONALES DEL LIBRO;25500
SERVICIO ARTISTICO - PRESENTACIÓN MUSICAL EN CONMEMORACION DEL BICENTENARIO DE BOLIVIA (ENSAMBLE VOCAL DE SAN IGNACIO DE MOXOS);26990
PUBLICIDAD;25500
ELABORACION DE MATERIALES SONOROS EN FORMATO DE PODCAST;26990
VESTIMENTA DE PUEBLOS INDIGENAS;39600
SERVICIO ARTISTICO - ELABORACION DE REPLICA DE PLUMA;26990
ADAPTACION DE LOMO DE CABALLO;26990
RESTAURACION DE BUSTOS;26990
SERVICIO ARTISTO - ELABORACION DE REPLICA SILLA CENTRAL DEL SALON DE LA INDEPENDENCIA PARA NIÑOS;26990
ELABORACION DE TOCADO DE INCA;26990
SERVICIO DE IMPRESIONES GRAFICAS PARA LA SALA DE NIÑOS;25600
TELA TERCIOPELO NEGRO ROLLO;33100
PASAJES AEREOS SUCRE-LA PAZ-SUCRE (Pedro Debreczeni);22110
PASAJES AEREOS SUCRE-LA PAZ-SUCRE (Roberto Salinas);22110
SERVICIO DE FLETE  TERRESTRE SUCRE-LA PAZ-SUCRE PARA EL TRASLADO DE EXPOSICIONES Y EQUIPOS;22300
PASAJES AEREOS SUCRE- SANTA CRUZ-SUCRE (Pedro Debreczeni);22110
PASAJES AEREOS SUCRE- SANTA CRUZ-SUCRE (Roberto Salinas);22110
SERVICIO DE FLETE  TERRESTRE SUCRE-SANTA CRUZ, SANTA CRUZ-SUCRE PARA EL TRASLADO DE EXPOSICIONES Y EQUIPOS;22300
VIATICOS - JUAN PEDRO DEBRECZENI;22210
VIATICOS - ROBERTO SALINAS ;22210
VIATICOS - JUAN PEDRO DEBRECZENI;22210
VIATICOS - ROBERTO SALINAS ;22210
PASAJES AÉREOS  Roberto Salinas;22110
SERVICIO DE FLETE TERRESTRE SUCRE-COCHABAMBA, COCHABAMBA-SUCRE, PARA EL TRASLADO DE EXPOSICIONES Y EQUIPOS;22300
PASAJES AEREOS ROBERTO SALINAS;22110
PASAJES AEREOS PEDRO DEBRECZENI;22110
SERVICIO DE FLETE AÉREO SUCRE-COBIJA, COBIJA-SUCRE, PARA EL TRASLADO DE EXPOSICIONES Y EQUIPOS;22300
SERVICIO DE FLETE TERRESTRE SUCRE-TUPIZA-SUIPACHA-TUMUSLA-SUCRE, PARA EL TRASLADO DE EXPOSICIONES Y EQUIPOS;22300
SERVICIO DE FLETE TERRESTRE SUCRE-MUYUPAMPA-IGUEMBE-TENTAYAPE-SUCRE, PARA EL TRASLADO DE EXPOSICIONES Y EQUIPOS;22300
VIATICOS - ROBERTO SALINAS ;22210
VIATICOS - ROBERTO SALINAS ;22210
VIATICOS - JUAN PEDRO DEBRECZENI;22210
VIATICOS - ROBERTO SALINAS ;22210
VIATICOS - JUAN PEDRO DEBRECZENI;22210
VIATICOS - ROBERTO SALINAS ;22210
VIATICOS - JUAN PEDRO DEBRECZENI;22210
"SERVICIO DE IMPRESIÓN DE CUADROS PARA EXPOSICION ""RUTA HISTORICA DEL BICENTENARIO""";25600
PASAJES AEREOS PEDRO DEBRECZENI;22110
PASAJES AEREOS ROBERTO SALINAS;22110
